date,city_name,daily_avg_temp,daily_max_temp,daily_min_temp,daily_avg_wind_speed,daily_max_wind_speed,daily_min_wind_speed,wind_direction,avg_relative_humidity,avg_dew_point,avg_pressure,precipitation_sum,rainy_hour_sum
2019-06-12,Adana,25.23,30.0,22.0,9.65,22.3,0.0,210.0,72.62,19.64,1009.4,0.0,0
2019-06-13,Adana,25.22,30.0,21.5,7.71,22.3,0.0,0.0,73.29,19.82,1008.65,0.0,0
2019-06-14,Adana,24.7,30.7,20.0,8.37,24.1,0.0,230.0,74.75,19.54,1007.5,0.0,0
2019-06-15,Adana,25.18,31.0,19.0,6.95,18.4,0.0,0.0,74.0,19.77,1006.3,0.0,0
2019-06-16,Adana,26.5,31.0,23.0,9.11,24.1,0.0,210.0,74.54,21.24,1006.16,0.0,0
2019-06-17,Adana,25.91,30.0,22.0,11.61,25.9,0.0,210.0,77.58,21.41,1007.09,0.0,0
2019-06-18,Adana,25.04,28.0,22.0,8.82,25.9,1.8,240.0,76.54,20.46,1008.65,0.0,0
2019-06-19,Adana,25.72,30.0,21.0,9.46,25.9,0.0,,75.83,20.83,1007.6,0.0,0
2019-06-20,Adana,24.31,29.0,22.0,8.75,24.1,0.0,70.0,81.54,20.78,1007.01,0.0,0
2019-06-21,Adana,26.04,31.0,21.0,9.77,18.4,3.6,220.0,74.79,20.92,1007.31,0.0,0
2019-06-22,Adana,26.93,30.7,23.0,8.07,18.4,0.0,220.0,77.04,22.31,1008.09,0.0,0
2019-06-23,Adana,27.44,32.0,23.7,7.7,18.4,0.0,200.0,78.17,22.98,1008.66,0.0,0
2019-06-24,Adana,28.45,34.0,23.7,7.57,16.6,0.0,220.0,77.54,23.7,1008.35,0.0,0
2019-06-25,Adana,29.11,34.5,25.0,7.64,18.4,0.0,200.0,76.46,23.96,1007.89,0.0,0
2019-06-26,Adana,29.16,36.0,24.0,8.37,16.6,0.0,180.0,78.25,24.45,1007.7,0.0,0
2019-06-27,Adana,28.98,33.0,25.6,9.24,18.4,3.6,180.0,76.46,24.18,1005.97,0.0,0
2019-06-28,Adana,28.24,32.0,25.0,12.22,22.3,3.6,180.0,77.71,23.78,1002.77,0.0,0
2019-06-29,Adana,28.55,33.0,25.0,11.22,25.9,0.0,210.0,76.29,23.67,1002.92,0.0,0
2019-06-30,Adana,28.82,34.1,25.0,10.95,22.3,0.0,40.0,53.17,17.32,1005.96,0.0,0
